Strategy,Type,clear_day,cloudy,dawn_dusk,foggy,night,rainy,snowy,Normal Avg,Adverse Avg,Gap
baseline,Baseline,39.42,36.91,32.16,36.81,26.87,34.02,33.05,38.17,32.69,5.48
gen_Attribute_Hallucination,Generative,41.79,39.07,34.15,38.23,28.69,36.17,35.81,40.43,34.72,5.71
gen_CNetSeg,Generative,41.66,39.41,33.45,37.95,28.07,35.94,36.23,40.53,34.55,5.99
gen_CUT,Generative,41.48,38.96,33.89,38.27,29.11,35.72,35.54,40.22,34.66,5.56
gen_IP2P,Generative,41.68,39.24,33.81,38.20,29.07,36.14,35.73,40.46,34.79,5.67
gen_Img2Img,Generative,41.85,39.39,34.01,37.89,28.68,36.58,35.74,40.62,34.72,5.90
gen_LANIT,Generative,41.09,38.64,32.76,37.69,27.52,34.75,35.07,39.86,33.76,6.11
gen_Qwen_Image_Edit,Generative,41.77,39.26,33.73,38.11,28.63,35.84,35.44,40.51,34.51,6.01
gen_SUSTechGAN,Generative,41.67,38.87,34.05,38.37,28.90,36.01,36.26,40.27,34.89,5.38
gen_TSIT,Generative,41.17,38.87,32.72,37.24,28.27,35.10,35.15,40.02,33.94,6.08
gen_UniControl,Generative,42.09,39.58,34.23,39.24,29.64,37.05,36.27,40.84,35.55,5.29
gen_VisualCloze,Generative,41.66,39.23,33.89,38.69,28.87,35.97,35.47,40.45,34.75,5.70
gen_Weather_Effect_Generator,Generative,41.59,39.36,33.86,37.86,28.37,35.55,35.62,40.47,34.35,6.12
gen_albumentations_weather,Generative,41.31,38.42,34.10,38.06,29.13,35.49,34.44,39.87,34.28,5.59
gen_augmenters,Generative,41.72,39.06,33.75,37.71,28.35,35.73,36.07,40.39,34.46,5.92
gen_automold,Generative,41.56,38.86,33.68,38.80,29.52,35.44,34.69,40.21,34.61,5.60
gen_cycleGAN,Generative,41.22,38.71,33.93,38.76,28.84,35.33,34.80,39.96,34.43,5.53
gen_cyclediffusion,Generative,42.00,39.61,34.16,38.83,29.71,36.12,35.89,40.80,35.14,5.67
gen_flux_kontext,Generative,41.73,39.20,34.57,38.43,29.26,36.08,35.37,40.47,34.78,5.68
gen_stargan_v2,Generative,41.76,39.33,33.41,38.51,27.94,35.83,35.89,40.55,34.54,6.00
gen_step1x_new,Generative,41.32,38.91,33.41,38.39,28.43,35.38,35.02,40.11,34.31,5.81
gen_step1x_v1p2,Generative,40.68,37.77,33.39,37.66,28.35,34.63,33.97,39.22,33.65,5.57
std_autoaugment,Standard Aug,41.81,39.08,33.83,38.60,28.90,36.28,35.76,40.45,34.88,5.56
std_cutmix,Standard Aug,41.67,39.60,33.87,38.19,29.19,36.49,36.05,40.64,34.98,5.66
std_mixup,Standard Aug,41.64,39.14,33.64,38.07,28.54,36.15,35.70,40.39,34.61,5.78
std_randaugment,Standard Aug,41.93,39.48,34.00,38.57,28.90,36.21,36.03,40.71,34.93,5.78
