Strategy,Type,bdd10k,bdd10k_gain,iddaw,iddaw_gain,mapillaryvistas,mapillaryvistas_gain,outside15k,outside15k_gain
gen_LANIT,Generative,46.62,+2.08,40.64,+1.37,36.65,+0.78,43.48,+1.25
gen_SUSTechGAN,Generative,46.59,+2.04,39.83,+0.55,35.08,-0.79,43.30,+1.08
gen_CNetSeg,Generative,46.58,+2.04,39.85,+0.57,35.03,-0.84,43.33,+1.11
gen_stargan_v2,Generative,46.24,+1.70,39.84,+0.57,35.18,-0.69,43.21,+0.99
gen_albumentations_weather,Generative,46.41,+1.87,39.75,+0.47,35.21,-0.66,43.08,+0.86
gen_flux_kontext,Generative,46.32,+1.77,39.68,+0.40,35.21,-0.66,43.23,+1.00
gen_step1x_new,Generative,46.37,+1.83,39.75,+0.48,35.16,-0.72,43.14,+0.92
std_randaugment,Standard Aug,46.76,+2.21,39.80,+0.53,35.17,-0.70,42.56,+0.34
gen_Weather_Effect_Generator,Generative,46.31,+1.77,39.82,+0.54,35.10,-0.77,42.96,+0.73
gen_UniControl,Generative,46.46,+1.92,39.89,+0.61,35.17,-0.70,42.63,+0.40
gen_Qwen_Image_Edit,Generative,46.11,+1.57,39.81,+0.54,35.24,-0.63,42.71,+0.49
gen_VisualCloze,Generative,46.86,+2.32,39.73,+0.45,35.24,-0.63,41.76,-0.47
gen_cyclediffusion,Generative,46.70,+2.16,39.94,+0.67,35.12,-0.75,41.69,-0.53
std_autoaugment,Standard Aug,46.42,+1.88,39.69,+0.41,35.25,-0.62,42.03,-0.19
gen_TSIT,Generative,46.05,+1.51,39.85,+0.58,35.18,-0.69,42.21,-0.01
std_mixup,Standard Aug,46.95,+2.41,39.88,+0.61,35.35,-0.53,41.04,-1.19
gen_step1x_v1p2,Generative,46.19,+1.65,39.83,+0.55,35.04,-0.83,42.16,-0.07
gen_Img2Img,Generative,46.53,+1.99,39.75,+0.48,35.23,-0.65,41.56,-0.66
gen_automold,Generative,46.31,+1.77,39.90,+0.63,35.23,-0.64,41.39,-0.84
gen_CUT,Generative,46.04,+1.50,39.82,+0.55,35.24,-0.63,41.62,-0.60
gen_IP2P,Generative,47.36,+2.82,36.89,-2.38,35.18,-0.69,43.07,+0.85
baseline,Baseline,44.54,+0.00,39.27,+0.00,35.87,+0.00,42.22,+0.00
gen_augmenters,Generative,46.44,+1.90,37.04,-2.24,35.23,-0.64,43.06,+0.84
std_cutmix,Standard Aug,47.30,+2.76,37.02,-2.25,35.19,-0.68,42.23,+0.01
gen_cycleGAN,Generative,46.86,+2.32,36.92,-2.36,35.13,-0.75,42.48,+0.26
gen_Attribute_Hallucination,Generative,46.00,+1.46,37.03,-2.24,35.20,-0.67,41.40,-0.82
